CD_SETOR,NM_BAIRRO,SITUACAO,AREA_KM2,renda_media,renda_sal,densidade,hab/ha,hab_setor,pop_amarel,pop_indige,pop_branco,pop_negros
355100905000001,Centro,Urbana,0.067119443095607,3269.0,3.0,6064.0,61.0,407.0,4.0,6.0,244.0,153.0
355100905000002,Centro,Urbana,0.06185376365965,3520.0,3.0,5222.0,52.0,323.0,4.0,0.0,199.0,120.0
355100905000005,Centro,Urbana,0.006468833094191,3361.0,3.0,51632.0,516.0,334.0,0.0,0.0,226.0,106.0
355100905000006,Centro,Urbana,0.013440862100498,3528.0,3.0,33629.0,336.0,452.0,0.0,0.0,300.0,150.0
355100905000013,Centro,Urbana,0.017639466428391,3499.0,3.0,18878.0,189.0,333.0,8.0,0.0,181.0,144.0
355100905000014,Centro,Urbana,0.083793307690534,6437.0,5.0,7399.0,74.0,620.0,0.0,0.0,417.0,201.0
355100905000016,Catiapoã,Urbana,0.029735660349682,1412.0,1.0,19606.0,196.0,583.0,0.0,0.0,221.0,361.0
355100905000017,Catiapoã,Urbana,0.040228370111974,1437.0,1.0,26399.0,264.0,1062.0,0.0,0.0,355.0,706.0
355100905000018,Catiapoã,Urbana,0.020310930955956,1399.0,1.0,29935.0,299.0,608.0,7.0,0.0,179.0,422.0
355100905000019,Catiapoã,Urbana,0.034647996160583,2609.0,2.0,11920.0,119.0,413.0,0.0,0.0,196.0,216.0
355100905000020,Catiapoã,Urbana,0.055976651242437,2601.0,2.0,12970.0,130.0,726.0,0.0,0.0,387.0,336.0
355100905000021,Catiapoã,Urbana,0.047601514990694,2540.0,2.0,14306.0,143.0,681.0,7.0,4.0,301.0,369.0
355100905000022,Catiapoã,Urbana,0.036311340179152,2640.0,2.0,16276.0,163.0,591.0,0.0,0.0,299.0,291.0
355100905000023,Catiapoã,Urbana,0.042441959931847,2782.0,2.0,13359.0,134.0,567.0,0.0,0.0,269.0,296.0
355100905000024,Catiapoã,Urbana,0.043357184481603,2525.0,2.0,15107.0,151.0,655.0,0.0,0.0,308.0,346.0
355100905000025,Catiapoã,Urbana,0.042592341870417,2651.0,2.0,13782.0,138.0,587.0,0.0,0.0,345.0,241.0
355100905000026,Catiapoã,Urbana,0.053531179634586,3419.0,3.0,7584.0,76.0,406.0,0.0,0.0,238.0,167.0
355100905000027,Catiapoã,Urbana,0.097021762463276,3639.0,3.0,7844.0,78.0,761.0,8.0,0.0,514.0,238.0
355100905000028,Catiapoã,Urbana,0.035171299801764,3767.0,3.0,12994.0,130.0,457.0,3.0,0.0,281.0,173.0
355100905000029,Catiapoã,Urbana,0.046077623429692,3795.0,3.0,13434.0,134.0,619.0,0.0,0.0,411.0,208.0
355100905000030,Vila Melo,Urbana,0.080004448269294,4175.0,3.0,7425.0,74.0,594.0,12.0,0.0,396.0,186.0
355100905000031,Vila Melo,Urbana,0.052947462546593,3715.0,3.0,8499.0,85.0,450.0,14.0,0.0,273.0,160.0
355100905000032,Vila Melo,Urbana,0.061013018526464,2568.0,2.0,11899.0,119.0,726.0,0.0,0.0,377.0,347.0
355100905000033,Vila Melo,Urbana,0.052285607210513,3199.0,3.0,12374.0,124.0,647.0,0.0,0.0,433.0,212.0
355100905000034,Vila Melo,Urbana,0.233203792795479,8977.0,7.0,176.0,2.0,41.0,0.0,0.0,32.0,9.0
355100905000035,Vila Melo,Urbana,0.049158362843084,3789.0,3.0,12612.0,126.0,620.0,7.0,4.0,384.0,225.0
355100905000036,Vila Melo,Urbana,0.051256914138625,3779.0,3.0,10789.0,108.0,553.0,0.0,0.0,353.0,196.0
355100905000037,Vila Melo,Urbana,0.016878763141506,3620.0,3.0,25713.0,257.0,434.0,0.0,0.0,276.0,156.0
355100905000038,Vila Melo,Urbana,0.037639242332822,3308.0,3.0,13257.0,133.0,499.0,7.0,0.0,308.0,184.0
355100905000039,Jardim Guassu,Urbana,0.047305860707171,,,10527.0,105.0,498.0,0.0,3.0,270.0,224.0
355100905000040,Jardim Guassu,Urbana,0.050314326224494,2484.0,2.0,7990.0,80.0,402.0,0.0,0.0,224.0,178.0
355100905000041,Jardim Guassu,Urbana,0.015591084310921,1471.0,1.0,16933.0,169.0,264.0,0.0,0.0,91.0,173.0
355100905000042,Jardim Guassu,Urbana,0.037578923304591,2884.0,2.0,9899.0,99.0,372.0,0.0,0.0,201.0,171.0
355100905000043,Jardim Guassu,Urbana,0.045785264421449,3382.0,3.0,10658.0,107.0,488.0,0.0,0.0,300.0,188.0
355100905000044,Jardim Guassu,Urbana,0.063325873604694,3145.0,3.0,9017.0,90.0,571.0,4.0,0.0,351.0,216.0
355100905000045,Vila São Jorge,Urbana,0.031927807513674,4601.0,4.0,11933.0,119.0,381.0,5.0,3.0,251.0,122.0
355100905000046,Vila São Jorge,Urbana,0.046029042658973,3797.0,3.0,12709.0,127.0,585.0,8.0,0.0,403.0,174.0
355100905000047,Vila São Jorge,Urbana,0.046526827898113,3677.0,3.0,11907.0,119.0,554.0,4.0,7.0,339.0,201.0
355100905000048,Vila São Jorge,Urbana,0.036815221543845,3969.0,3.0,15591.0,156.0,574.0,7.0,0.0,424.0,143.0
355100905000049,Vila São Jorge,Urbana,0.030312879283944,3199.0,3.0,26358.0,264.0,799.0,0.0,0.0,521.0,276.0
355100905000050,Vila São Jorge,Urbana,0.048151034499464,3876.0,3.0,9740.0,97.0,469.0,6.0,0.0,316.0,146.0
355100905000051,Vila São Jorge,Urbana,0.053316775343606,3244.0,3.0,6902.0,69.0,368.0,0.0,0.0,244.0,124.0
355100905000052,Vila São Jorge,Urbana,0.049104737687704,3270.0,3.0,9673.0,97.0,475.0,5.0,0.0,274.0,195.0
355100905000053,Vila São Jorge,Urbana,0.078117840887758,2487.0,2.0,7796.0,78.0,609.0,0.0,0.0,369.0,240.0
355100905000054,Jardim Independência,Urbana,0.017917552612799,4033.0,3.0,22715.0,227.0,407.0,0.0,0.0,292.0,113.0
355100905000055,Jardim Independência,Urbana,0.024116470270531,,,11196.0,112.0,270.0,8.0,0.0,172.0,90.0
355100905000056,Jardim Independência,Urbana,0.058027040169032,4494.0,4.0,9685.0,97.0,562.0,16.0,0.0,415.0,131.0
355100905000057,Vila Voturuá,Urbana,0.042876057897538,4316.0,4.0,10915.0,109.0,468.0,11.0,0.0,298.0,159.0
355100905000058,Vila Voturuá,Urbana,0.042753022735977,3975.0,3.0,11531.0,115.0,493.0,0.0,0.0,298.0,194.0
355100905000060,Vila Voturuá,Urbana,0.056064169134719,3143.0,3.0,11594.0,116.0,650.0,0.0,4.0,365.0,279.0
355100905000063,Vila Valença,Urbana,0.044075052290606,5039.0,4.0,8213.0,82.0,362.0,0.0,0.0,247.0,114.0
355100905000064,Vila Valença,Urbana,0.042015929813331,4112.0,3.0,12448.0,124.0,523.0,0.0,0.0,329.0,191.0
355100905000065,Vila Valença,Urbana,0.038711310491464,3933.0,3.0,9842.0,98.0,381.0,6.0,0.0,306.0,69.0
355100905000066,Vila Valença,Urbana,0.041211058137253,3496.0,3.0,13128.0,131.0,541.0,0.0,0.0,384.0,155.0
355100905000067,Vila Valença,Urbana,0.041240896290239,4060.0,3.0,15203.0,152.0,627.0,0.0,5.0,428.0,193.0
355100905000068,Vila Valença,Urbana,0.06066126864736,5299.0,4.0,14606.0,146.0,886.0,6.0,0.0,656.0,223.0
355100905000069,Vila Valença,Urbana,0.041520195706199,4248.0,4.0,11561.0,116.0,480.0,0.0,0.0,358.0,120.0
355100905000070,Vila Valença,Urbana,0.027394449146006,4677.0,4.0,13871.0,139.0,380.0,3.0,0.0,291.0,86.0
355100905000072,Itararé,Urbana,0.007739719938479,5279.0,4.0,37340.0,373.0,289.0,5.0,0.0,225.0,59.0
355100905000073,Itararé,Urbana,0.019351087121675,6514.0,5.0,28836.0,288.0,558.0,6.0,0.0,465.0,87.0
355100905000075,Itararé,Urbana,0.020394900680673,4598.0,4.0,17701.0,177.0,361.0,0.0,0.0,267.0,93.0
355100905000077,Itararé,Urbana,0.017113807484019,5909.0,5.0,39676.0,397.0,679.0,9.0,0.0,542.0,128.0
355100905000078,Itararé,Urbana,0.017660766421854,6123.0,5.0,31595.0,316.0,558.0,0.0,0.0,390.0,166.0
355100905000079,Itararé,Urbana,0.017539719343673,4070.0,3.0,10490.0,105.0,184.0,0.0,0.0,114.0,69.0
355100905000080,Itararé,Urbana,0.048463885179638,3779.0,3.0,5984.0,60.0,290.0,0.0,3.0,189.0,96.0
355100905000082,Itararé,Urbana,0.014642068434489,2425.0,2.0,16459.0,165.0,241.0,0.0,0.0,107.0,134.0
355100905000083,Itararé,Urbana,0.005450913166098,3173.0,3.0,79987.0,800.0,436.0,3.0,0.0,256.0,177.0
