NOME,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,DS_TURNO_ATENDIMENTO,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_AMBULATORIAL_SUS
HOFE SEG SAO VICENTE,11340000,FREI GASPAR,2587,BEIRA MAR,13 88239212,-239575481911.0,-464025163651.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV,11320160,ONZE DE JUNHO,291,BOA VISTA,13 34917540,-239716855194.0,-463727545738.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV,11320120,RANGEL PESTANA,209,BOA VISTA,13 35913175,-239694601205.0,-46372218132.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IACS PRESIDENTE WILSON SAO VICENTE,11320001,AVENIDA PRESIDENTE WILSON,456,BOA VISTA,1332813000,-239677395.0,-463481869.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV,11320120,RANGEL PESTANA,209,BOA VISTA,13 32332362,-239707155.0,-463730805.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF SA CATARINA SAO VICENTE,11365330,RUA TRAVESSA DO PARQUE,S/N,CATIAPOA,1334663797,-23957364.0,-46393161.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE,11370300,AV PERSIO DE QUEIROZ FILHO,S/N,CATIAPOA,(13)34672887,-239567176184.0,-463873311661.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
APAE SAO VICENTE,11390220,RUA FELICIANO MARCONDES DA SILVA,205,CATIAPOA,(13)34677828,-239624203.0,-463820005.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
EDUARDO PALMIERI,11390200,AV MARTINS FONTES,480,CATIAPOA,34684645,-239606852.0,-464067146.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE,11390360,RUA SALVADOR MALAQUIAS LEAL,88,CATIAPOA,1330186811,-239564426.0,-463860826.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RADICOM SAO VICENTE,11310040,PADRE ANCHIETA,224,CENTRO,13 34811671,-239682150567.0,-463849854469.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE,11310050,RUA JOAO RAMALHO,1150,CENTRO,1334662962,-23963294.0,-46387726.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CLINICA MULT IMAGEM SAO VICENTE,11310061,RUA FREI GASPAR,790,CENTRO,1332286700,-23964822.0,-46386613.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LEANDRO DE LIMA GIACCHERI SAO VICENTE,11310071,RUA JACOB EMERICK,365,CENTRO,13988222244,-23967809.0,-46385047.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALCYR NOGUEIRA LIMA SAO VICENTE,11310061,RUA FREI GASPAR,931,CENTRO,,-23964591.0,-46388623.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE,11310060,RUA FREI GASPAR,637,CENTRO,1333711098,-23966127.0,-46385701.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DRA RENATA GUELLI SAO VICENTE,11310400,RUA XV DE NOVEMBRO,576,CENTRO,1334673793,-23963755.0,-46385414.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE,11310040,RUA PADRE ANCHIETA,462,CENTRO,1335695700,-239665239076.0,-463838911057.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
FARMACIA PAGUE MENOS SAO VICENTE,11320000,AV PRESIDENTE WILSON,706,CENTRO,1334664339,-239682455033.0,-463754039034.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
MONICA BATALHA PRADO SAO VICENTE,11320000,AV PRESIDENTE WILSON,1473,CENTRO,1334662803,-239652812665.0,-463821235299.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
TOXICOLOGICO SAO VICENTE,11310000,BARAO DO RIO BRANCO,94,CENTRO,13 96933033,-23966440575.0,-463860958815.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MAXI EXAMES,11310070,R JACOB EMERICK,365,CENTRO,(13) 3467-9303,-239671768.0,-463858775.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
TAMARA MACHADO FRACALANZA BOCCATELLI,11320010,AVENIDA QUINTINO BOCAIUVA,405,CENTRO,,-23967568011.0,-463846850395.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
INSTITUTO ORTOPEDICO ITARARE SAO VICENTE,11320920,AV PRESIDENTE WILSON,1340,CENTRO,(13)34681550,-23965492.0,-46380825.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SERVICO DE PERICIAS MEDICAS SAO VICENTE,11310010,RUA FREI GASPAR,637,CENTRO,(13)34677333,-23966083.0,-4638569.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CTA BETINHO SAO VICENTE,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,(13)34698522,-23967086.0,-46387824.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
SECRETARIA DE SAUDE DE SAO VICENTE,11310040,RUA PADRE ANCHIETA,462,CENTRO,(13)35695700,-23966264.0,-46383546.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,,,0.0,0.0,SIM
COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE,11310400,RUA XV DE NOVEMBRO,176,CENTRO,(13)34650900,-239670484113.0,-463869380951.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
