Restrição de Atendimento,Escola,Categoria Administrativa,Endereço,Telefone,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,Bairro
ESCOLA PARALISADA,ESCOLA INFANTIL RENASCER,Privada,"MONTE BELVEDERE, 984 VILA MARGARIDA. 11330-580 São Vicente - SP.",(13) 34635844,,,-23.967984,-46.4044177,VILA MARGARIDA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE E EDUCACAO INFANTIL ABC,Privada,"GENERAL MARIO HERMES DA FONSECA, 655 ESPLANADA DOS BARREIROS. 11340-180 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.96044833,-46.40936667,ESPLANADA DOS BARREIROS
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANJO GABRIEL,Privada,"VALTER DO AMARAL, 39 CATIAPOA. 11370-305 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.96077084,-46.38895709,CATIAPOA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NUCLEO DE RECREACAO INFANTIL APRENDER BRINCANDO,Privada,"MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO, 449 CIDADE NAUTICA. 11355-000 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.94918706,-46.40940402,CIDADE NAUTICA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE PROFESSORA REGINA CELIA DOS SANTOS,Pública Municipal,"CAPITAO ANTAO DE MOURA, 429 PARQUE BITARU. 11330-100 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9677208,-46.3937494,PARQUE BITARU
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL EDUARDO FURKINI,Pública Municipal,"DOUTOR ARCHIMEDES BAVA, SN PARQUE DAS BANDEIRAS. 11346-190 São Vicente - SP.",,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-23.9821152,-46.4948187,PARQUE DAS BANDEIRAS
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PAULO DE SOUZA,Pública Municipal,"DEPUTADO ULISSES GUIMARAES, SN JARDIM RIO BRANCO. 11347-000 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9759727,-46.4771376,JARDIM RIO BRANCO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SHALOM,Privada,"PROFESSOR LOVELY PLAUCHUT, 452 VILA MATEO BEI. 11335-300 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.96482667,-46.40895167,VILA MATEO BEI
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA VOVO LIBANIA CRECHE COMUNITARIA,Privada,"VINTE E DOIS DE JANEIRO, 630 FUNDOS. CENTRO. 11310-090 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9699138,-46.3857808,CENTRO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENIEL CRECHE COMUNITARIA,Privada,"TENENTE DURVAL DO AMARAL, 725 CATIAPOA. 11390-300 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9568458,-46.3840025,CATIAPOA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LAR CINDERELA CRECHE COMUNITARIA,Privada,"FRANCISCO SILVA SANTOS, 323 JARDIM GUASSU. 11370-530 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9514511,-46.3770646,JARDIM GUASSU
