Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA PARALISADA,ESCOLA INFANTIL RENASCER,35004088,SP,São Vicente,Urbana,Não Informado,Privada,"MONTE BELVEDERE, 984 VILA MARGARIDA. 11330-580 São Vicente - SP.",(13) 34635844,Privada,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE E EDUCACAO INFANTIL ABC,35004589,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"GENERAL MARIO HERMES DA FONSECA, 655 ESPLANADA DOS BARREIROS. 11340-180 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96044833,-46.40936667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANJO GABRIEL,35004590,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VALTER DO AMARAL, 39 CATIAPOA. 11370-305 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96077084,-46.38895709
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NUCLEO DE RECREACAO INFANTIL APRENDER BRINCANDO,35004815,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO, 449 CIDADE NAUTICA. 11355-000 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.94918706,-46.40940402
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE PROFESSORA REGINA CELIA DOS SANTOS,35004886,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CAPITAO ANTAO DE MOURA, 429 PARQUE BITARU. 11330-100 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9677208,-46.3937494
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL EDUARDO FURKINI,35004888,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR ARCHIMEDES BAVA, SN PARQUE DAS BANDEIRAS. 11346-190 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.9821152,-46.4948187
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PAULO DE SOUZA,35004889,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO ULISSES GUIMARAES, SN JARDIM RIO BRANCO. 11347-000 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9759727,-46.4771376
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SHALOM,35004942,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PROFESSOR LOVELY PLAUCHUT, 452 VILA MATEO BEI. 11335-300 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96482667,-46.40895167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA VOVO LIBANIA CRECHE COMUNITARIA,35005340,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VINTE E DOIS DE JANEIRO, 630 FUNDOS. CENTRO. 11310-090 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9699138,-46.3857808
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENIEL CRECHE COMUNITARIA,35005343,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"TENENTE DURVAL DO AMARAL, 725 CATIAPOA. 11390-300 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9568458,-46.3840025
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LAR CINDERELA CRECHE COMUNITARIA,35005347,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO SILVA SANTOS, 323 JARDIM GUASSU. 11370-530 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9514511,-46.3770646
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNDO DA CRIANCA,35005348,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VEREADOR LOURIVAL MOREIRA DO AMARAL, 604 PARQUE SAO VICENTE. 11365-100 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9577278,-46.3943482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO NASCIMENTO EDUCACAO,35005406,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"COSTA REGO, 50 VILA SAO JORGE. 11380-140 São Vicente - SP.",(13) 35615642,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9546209,-46.3739948
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CANTINHO DO ZEZINHO CRECHE COMUNITARIA,35005443,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SACADURA CABRAL, 399 VILA JOCKEI CLUBE. 11365-080 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.94777155,-46.3921991
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO VISAO,35006080,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA TENENTE DURVAL DO AMARAL, 245 CATIAPOA. 11390-300 São Vicente - SP.",(13) 33954800,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-23.96062202,-46.39045697
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE SANDRA ANTONELI,35006095,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ELISANGELA SANTOS MENDES, SN SAMARITA. 11345-585 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.98871445,-46.46972985
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SAPINHO SAPECA,35006124,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CUIABA, 196 VILA NOSSA SENHORA DE FATIMA. 11355-250 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.95497687,-46.40395354
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA FORTEC UNIDADE VI,35006249,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FREI GASPAR, 2078 PARQUE SAO VICENTE. 11340-000 São Vicente - SP.",(13) 34661868,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GENESIS MASTER SAO VICENTE,35006311,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"EDUARDO CACAO, 1448 JARDIM RIO BRANCO. 11347-150 São Vicente - SP.",(13) 35765513,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.98412012,-46.46890085
