 ;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
8152837;3551008152837;35;355100;;HOFE SEG LTDA;HOFE SEG SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11340000;FREI GASPAR;2587;BEIRA MAR;13 88239212;-239.575.481.911;-464.025.163.651;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;63067427000127;HOFECONSULTORIA@GMAIL.COM;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2813971;3551002813971;35;355100;;CENTRO NEUROLOGICO MATHEUS ALVARES LTDA;CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV;;;M;;;M ;MUNICIPAL;04;36;11320160;ONZE DE JUNHO;291;BOA VISTA;13 34917540;-239.716.855.194;-463.727.545.738;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;33171548000153;legalizacao@matheusalvares.com.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
4073355;3551004073355;35;355100;;CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES LTDA;CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV;;;M;;;M ;MUNICIPAL;04;36;11320120;RANGEL PESTANA;209;BOA VISTA;13 35913175;-239.694.601.205;-46.372.218.132;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;42782183000275;legalizacao@matheusalvares.com.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
6190375;3551006190375;35;355100;;INSTITUTO DE ANALISES CLINICAS DE SANTOS S A;IACS PRESIDENTE WILSON SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11320001;AVENIDA PRESIDENTE WILSON;456;BOA VISTA;1332813000;-239.677.395;-463.481.869;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;44974822000220;assuntosregulatorios@grupofleury.com.br;2054;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
8118280;3551008118280;35;355100;;EVOLUIR CLINICA NEURODESENVOLVIMENTO LTDA;EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV;;;M;;;M ;MUNICIPAL;04;36;11320120;RANGEL PESTANA;209;BOA VISTA;13 32332362;-239.707.155;-463.730.805;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;63337309000272;ADM@ALLIANCECONSULTORIA.CNT.BR;2062;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
422746;3551000422746;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;ESF SA CATARINA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;2;11365330;RUA TRAVESSA DO PARQUE;S/N;CATIAPOA;1334663797;-23.957.364;-46.393.161;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;esfsacatarina@saudesaovicente.sp.gov.br;1244;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2040492;3551002040492;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;2;11370300;AV PERSIO DE QUEIROZ FILHO;S/N;CATIAPOA;(13)34672887;-239.567.176.184;-463.873.311.661;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;ubscatiapoa@saudesaovicente.sp.gov.br;1244;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
5598788;3551005598788;35;355100;;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAO VICENTE;APAE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11390220;RUA FELICIANO MARCONDES DA SILVA;205;CATIAPOA;(13)34677828;-239.624.203;-463.820.005;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;57730087000170;diretoria@apaesaovicente.org.br;3999;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
6110053;3551006110053;35;355100;;EDUARDO PALMIERI;EDUARDO PALMIERI;;;M;;;M ;MUNICIPAL;04;22;11390200;AV MARTINS FONTES;480;CATIAPOA;34684645;-239.606.852;-464.067.146;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9465669;3551009465669;35;355100;;MARILENE JUSTINO ALVES;CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11390360;RUA SALVADOR MALAQUIAS LEAL;88;CATIAPOA;1330186811;-239.564.426;-463.860.826;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;marilene-odontobol.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
